"export-plot data (NetLogo 5.0.4)"
"DriftOrSelection.nlogo"
"02/19/2015 13:38:35:405 -0500"

"MODEL SETTINGS"
"birth-energy","energy-for-babies","grass-prob","carrying-capacity","number","probability-of-red","energy-from-grass-blue","energy-from-grass-red"
"10","25","3","500","100","0.1","10","10"

"""red vs. blue"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","4290","0","266","true","""blue""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""blue""","true","0","1","105","3791"
"""red""","true","0","1","15","3791"

"""blue""",,,,"""red"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","85","105","true","0","15","15","true"
"1","82","105","true","1","15","15","true"
"2","82","105","true","2","15","15","true"
"3","133","105","true","3","23","15","true"
"4","148","105","true","4","28","15","true"
"5","141","105","true","5","26","15","true"
"6","168","105","true","6","29","15","true"
"7","187","105","true","7","34","15","true"
"8","199","105","true","8","37","15","true"
"9","215","105","true","9","44","15","true"
"10","210","105","true","10","42","15","true"
"11","218","105","true","11","44","15","true"
"12","226","105","true","12","45","15","true"
"13","232","105","true","13","48","15","true"
"14","242","105","true","14","49","15","true"
"15","229","105","true","15","48","15","true"
"16","238","105","true","16","50","15","true"
"17","241","105","true","17","51","15","true"
"18","232","105","true","18","55","15","true"
"19","237","105","true","19","54","15","true"
"20","232","105","true","20","54","15","true"
"21","233","105","true","21","55","15","true"
"22","230","105","true","22","54","15","true"
"23","225","105","true","23","54","15","true"
"24","221","105","true","24","52","15","true"
"25","215","105","true","25","49","15","true"
"26","209","105","true","26","52","15","true"
"27","211","105","true","27","53","15","true"
"28","211","105","true","28","51","15","true"
"29","201","105","true","29","51","15","true"
"30","197","105","true","30","51","15","true"
"31","195","105","true","31","47","15","true"
"32","192","105","true","32","46","15","true"
"33","183","105","true","33","44","15","true"
"34","174","105","true","34","44","15","true"
"35","172","105","true","35","44","15","true"
"36","168","105","true","36","47","15","true"
"37","164","105","true","37","48","15","true"
"38","159","105","true","38","48","15","true"
"39","157","105","true","39","47","15","true"
"40","144","105","true","40","47","15","true"
"41","146","105","true","41","49","15","true"
"42","143","105","true","42","50","15","true"
"43","142","105","true","43","51","15","true"
"44","140","105","true","44","48","15","true"
"45","138","105","true","45","51","15","true"
"46","136","105","true","46","52","15","true"
"47","135","105","true","47","51","15","true"
"48","133","105","true","48","50","15","true"
"49","136","105","true","49","50","15","true"
"50","141","105","true","50","51","15","true"
"51","135","105","true","51","51","15","true"
"52","140","105","true","52","52","15","true"
"53","140","105","true","53","50","15","true"
"54","137","105","true","54","51","15","true"
"55","145","105","true","55","53","15","true"
"56","140","105","true","56","52","15","true"
"57","144","105","true","57","53","15","true"
"58","137","105","true","58","51","15","true"
"59","138","105","true","59","52","15","true"
"60","131","105","true","60","53","15","true"
"61","129","105","true","61","52","15","true"
"62","128","105","true","62","53","15","true"
"63","125","105","true","63","53","15","true"
"64","127","105","true","64","52","15","true"
"65","121","105","true","65","52","15","true"
"66","118","105","true","66","49","15","true"
"67","118","105","true","67","51","15","true"
"68","121","105","true","68","49","15","true"
"69","121","105","true","69","49","15","true"
"70","124","105","true","70","50","15","true"
"71","123","105","true","71","51","15","true"
"72","124","105","true","72","50","15","true"
