"x","y","color","pen down?","x","y","color","pen down?"
"0","7","105","true","0","93","15","true"
"1","7","105","true","1","89","15","true"
"2","7","105","true","2","89","15","true"
"3","9","105","true","3","141","15","true"
"4","12","105","true","4","161","15","true"
"5","11","105","true","5","156","15","true"
"6","12","105","true","6","175","15","true"
"7","16","105","true","7","197","15","true"
"8","18","105","true","8","200","15","true"
"9","20","105","true","9","225","15","true"
"10","21","105","true","10","231","15","true"
"11","21","105","true","11","236","15","true"
"12","24","105","true","12","247","15","true"
"13","26","105","true","13","257","15","true"
"14","25","105","true","14","258","15","true"
"15","28","105","true","15","254","15","true"
"16","28","105","true","16","259","15","true"
"17","27","105","true","17","263","15","true"
"18","27","105","true","18","255","15","true"
"19","27","105","true","19","258","15","true"
"20","27","105","true","20","253","15","true"
"21","27","105","true","21","256","15","true"
"22","26","105","true","22","258","15","true"
"23","28","105","true","23","257","15","true"
"24","27","105","true","24","255","15","true"
"25","25","105","true","25","236","15","true"
"26","27","105","true","26","235","15","true"
"27","26","105","true","27","227","15","true"
"28","26","105","true","28","229","15","true"
"29","24","105","true","29","222","15","true"
"30","24","105","true","30","217","15","true"
"31","24","105","true","31","221","15","true"
"32","24","105","true","32","218","15","true"
"33","24","105","true","33","205","15","true"
"34","25","105","true","34","204","15","true"
"35","22","105","true","35","197","15","true"
"36","22","105","true","36","191","15","true"
"37","23","105","true","37","190","15","true"
"38","22","105","true","38","182","15","true"
"39","23","105","true","39","179","15","true"
"40","23","105","true","40","179","15","true"
"41","24","105","true","41","174","15","true"
"42","21","105","true","42","172","15","true"
"43","18","105","true","43","169","15","true"
"44","19","105","true","44","165","15","true"
"45","18","105","true","45","159","15","true"
"46","18","105","true","46","157","15","true"
"47","17","105","true","47","157","15","true"
"48","17","105","true","48","145","15","true"
"49","18","105","true","49","139","15","true"
"50","19","105","true","50","135","15","true"
"51","18","105","true","51","134","15","true"
"52","18","105","true","52","130","15","true"
"53","18","105","true","53","127","15","true"
"54","18","105","true","54","122","15","true"
"55","19","105","true","55","121","15","true"
"56","20","105","true","56","124","15","true"
"57","20","105","true","57","123","15","true"
"58","21","105","true","58","119","15","true"
"59","23","105","true","59","123","15","true"
"60","24","105","true","60","121","15","true"
"61","24","105","true","61","120","15","true"
"62","26","105","true","62","125","15","true"
"63","24","105","true","63","128","15","true"
"64","27","105","true","64","130","15","true"
"65","24","105","true","65","124","15","true"
"66","24","105","true","66","127","15","true"
"67","24","105","true","67","124","15","true"
"68","23","105","true","68","127","15","true"
"69","24","105","true","69","134","15","true"
"70","26","105","true","70","134","15","true"
"71","27","105","true","71","139","15","true"
"72","27","105","true","72","140","15","true"
"73","27","105","true","73","139","15","true"
"74","26","105","true","74","134","15","true"
"75","28","105","true","75","134","15","true"
"76","27","105","true","76","132","15","true"
"77","27","105","true","77","130","15","true"
"78","27","105","true","78","131","15","true"
"79","25","105","true","79","136","15","true"
"80","23","105","true","80","138","15","true"
"81","23","105","true","81","136","15","true"
"82","25","105","true","82","136","15","true"
"83","24","105","true","83","137","15","true"
"84","25","105","true","84","143","15","true"
"85","24","105","true","85","143","15","true"
"86","23","105","true","86","140","15","true"
"87","24","105","true","87","137","15","true"
"88","25","105","true","88","140","15","true"
"89","25","105","true","89","135","15","true"
"90","26","105","true","90","136","15","true"
"91","25","105","true","91","139","15","true"
"92","24","105","true","92","140","15","true"
"93","24","105","true","93","136","15","true"
"94","26","105","true","94","137","15","true"
"95","25","105","true","95","133","15","true"
"96","26","105","true","96","137","15","true"
"97","24","105","true","97","133","15","true"
"98","24","105","true","98","134","15","true"
"99","20","105","true","99","130","15","true"
"100","19","105","true","100","130","15","true"
"101","19","105","true","101","131","15","true"
"102","18","105","true","102","137","15","true"
"103","18","105","true","103","144","15","true"
"104","18","105","true","104","145","15","true"
"105","19","105","true","105","148","15","true"
"106","19","105","true","106","148","15","true"
"107","20","105","true","107","150","15","true"
"108","23","105","true","108","147","15","true"
"109","23","105","true","109","149","15","true"
"110","24","105","true","110","141","15","true"
"111","25","105","true","111","142","15","true"
"112","25","105","true","112","144","15","true"
"113","26","105","true","113","146","15","true"
"114","27","105","true","114","146","15","true"
"115","27","105","true","115","145","15","true"
"116","29","105","true","116","145","15","true"
"117","29","105","true","117","149","15","true"
