wals_code,Name,latitude,longitude
aab,Arapesh (Abu),-3.45,142.95
aar,Aari,6.0,36.5833333333
aba,Abau,-4.0,141.25
abb,Arabic (Abbéché Chad),13.8333333333,20.8333333333
abd,Abidji,5.66666666667,-4.58333333333
abe,Arabic (Beirut),33.9166666667,35.5
abh,Arabic (Bahrain),26.0,50.5
abi,Abipón,-29.0,-61.0
abk,Abkhaz,43.0833333333,41.0
abm,Alabama,32.3333333333,-87.4166666667
abn,Arabana,-28.25,136.25
abo,Arbore,5.0,36.75
abu,Abun,-0.5,132.5
abv,Abui,-8.25,124.666666667
abw,Abenaki (Western),44.0,-72.25
abz,Abaza,44.0,42.0
ace,Acehnese,5.5,95.5
acg,Achagua,4.41666666667,-72.25
ach,Aché,-25.25,-55.1666666667
aci,Achí,15.1666666667,-90.5
acl,Acholi,3.0,32.6666666667
acm,Achumawi,41.5,-121.0
acn,Achang,25.0,98.5
aco,Acoma,34.9166666667,-107.583333333
acu,Achuar,-2.66667,-76.0
ada,Adamorobe Sign Language,5.83333333333,-0.166666666667
adg,Adang,-8.2,124.0
adi,Adioukrou,5.41666666667,-4.58333333333
adk,Andoke,-0.666666666667,-72.0
adn,Adynyamathanha,-30.5,139.5
adt,Adyghe (Temirgoy),45.2166666667,39.7
ady,Adyghe (Abzakh),45.2333333333,40.5833333333
adz,Adzera,-6.25,146.25
aea,Aleut (Eastern),54.75,-164.0
aeg,Arabic (Egyptian),30.0,31.0
ael,Arabic (Eastern Libyan),32.0,22.0
afr,Afrikaans,-31.0,22.0
aga,Agarabi,-6.16666666667,146.0
agb,Leggbó,6.0,8.0
agc,Agta (Central),17.9666666667,121.833333333
agd,Agta (Dupaningan),18.0,122.083333333
agh,Aghem,6.66666666667,10.0
agl,Aghul,41.75,47.6666666667
agm,Angami,25.6666666667,94.5
ago,Angolar,0.25,6.5
agr,Aguaruna,-5.0,-78.0
agt,Anguthimri,-12.3333333333,141.833333333
agu,Aguacatec,15.4166666667,-91.3333333333
agw,Alagwa,-5.5,35.75
aho,Arapaho,40.0,-103.0
ahs,Arabic (Bani-Hassan),20.0,-10.0
aht,Ahtna,62.0,-145.0
ahu,Aghu,-6.16666666667,140.166666667
aik,Aikaná,-12.6666666667,-60.6666666667
ain,Ainu,43.0,143.0
aiz,Aizi,5.25,-4.5
aja,Aja,7.33333333333,25.6666666667
ajg,Ajagbe,7.0,1.75
aji,Ajië,-21.3333333333,165.5
aka,Aka,2.66666666667,16.25
akb,Aka-Biada,11.6666666667,92.5
akc,Aka-Cari,13.5,93.0
akh,Akha,21.8333333333,99.8333333333
akk,Aka-Kede,12.75,92.75
akl,Aklanon,11.5833333333,122.333333333
akm,Arakanese (Marma),21.5,92.5
akn,Akan,6.5,-1.25
ako,Arabic (Kormakiti),35.25,33.5
akr,Arikara,45.5,-100.5
akw,Akawaio,6.0,-59.5
ala,Alamblak,-4.66666666667,143.333333333
alb,Albanian,41.0,20.0
alc,Allentiac,-31.0,-68.0
ald,Alladian,5.16666666667,-4.33333333333
ale,Aleut,54.0,-166.0
alg,Algonquin,46.0,-77.0
alk,Arop-Lokep,-5.38333333333,147.05
all,Ala'ala,-8.91666666667,146.75
aln,Alune,-3.0,128.333333333
als,Alsea,44.6666666667,-123.916666667
alt,Alsatian,48.5,7.5
alu,Alutor,61.0,165.0
alw,Alawa,-15.1666666667,134.25
alx,Alas,3.66666666667,97.8333333333
aly,Alyawarra,-22.5,135.0
ama,Amara,-5.66666666667,148.5
amb,Ambulas,-3.83333333333,143.0
amc,Amahuaca,-10.5,-72.5
amd,Amdo,35.0,100.0
ame,Amele,-5.25,145.583333333
amh,Amharic,10.0,38.0
ami,Amis,23.3333333333,121.333333333
amk,Amarakaeri,-12.5,-70.5
aml,Ambae (Lolovoli Northeast),-15.4166666667,167.883333333
amm,Ama,-4.21666666667,141.616666667
amn,Amanab,-3.58333333333,141.25
amo,Amo,10.3333333333,8.66666666667
amp,Arrernte (Mparntwe),-24.0,136.0
amq,Ambai,-1.83333333333,136.5
amr,Arabic (Moroccan),34.0,-6.0
ams,Arabic (Modern Standard),25.0,42.0
amt,Amdo (Themchen),38.0,98.0
amu,Amuesha,-10.5,-75.4166666667
amx,Anamuxra,-4.66666666667,145.0
amz,Amuzgo,16.8333333333,-98.0
ana,Araona,-12.3333333333,-67.75
anc,Angas,9.5,9.5
ane,Anêm,-5.58333333333,149.083333333
ang,Anggor,-3.75,141.166666667
ani,//Ani,-18.9166666667,21.9166666667
anj,Anejom,-20.2,169.8
anl,Arabic (North Levantine Spoken),33.75,36.0
ann,Anindilyakwa,-14.0,136.5
ano,Anong,27.3333333333,98.75
ant,Angaatiha,-7.21666666667,146.25
anu,Anufo,10.0833333333,0.25
anx,Andi,42.75,46.25
any,Anywa,8.0,33.5
ao,Ao,26.5833333333,94.6666666667
aoj,Mufian,-3.5,143.0
apa,Arabic (Palestinian),32.0,35.25
apc,Apache (Chiricahua),33.25,-108.0
ape,Ampeeli,-6.75,146.083333333
api,Apinayé,-5.5,-48.0
apj,Apache (Jicarilla),36.5833333333,-104.0
apk,A-Pucikwar,12.1666666667,92.8333333333
apl,Apalaí,0.0,-54.0
apt,Apatani,27.5,93.75
apu,Apurinã,-9.0,-67.0
apw,Apache (Western),33.75,-110.0
ara,Arawak,5.5,-55.1666666667
arb,Arabela,-2.0,-75.1666666667
arc,Archi,42.0,46.8333333333
ard,Arandai,-2.08333333333,133.0
arg,Arabic (Gulf),26.0,49.0
arh,Arabic (Hijazi),26.0,38.0
ari,Aribwatsa,-6.71666666667,147.0
arj,Arabic (Kuwaiti),29.5,47.5
ark,Araki,-15.6666666667,166.916666667
arl,Arabic (Lebanese),34.0,36.0
arm,Armenian (Eastern),40.0,45.0
arn,Arabic (Borno Nigerian),8.58333333333,12.4166666667
aro,Arosi,-10.25,161.333333333
arp,Arapesh (Mountain),-3.46666666667,143.166666667
arq,Arabic (Iraqi),33.0,44.0
arr,Arrernte,-24.0,134.0
ars,Arabic (San'ani),16.0,44.0
arv,Arabic (Negev),30.5,34.75
arw,Armenian (Western),38.5,43.5
arx,'Are'are,-9.25,161.166666667
arz,Armenian (Iranian),32.6666666667,51.6666666667
ash,Adyghe (Shapsugh),45.0,38.75
asl,American Sign Language,39.0,-78.0
asm,Asmat,-5.5,138.5
aso,Altai (Southern),51.0,87.0
ass,Assamese,26.0,93.0
ast,Asturian,43.25,-6.0
asu,Asuriní,-3.5,-49.5
asy,Arabic (Syrian),34.0,38.0
ata,Atayal,24.5,121.333333333
atb,Aralle-Tabulahan,-2.75,119.25
atc,Atchin,-16.0,167.333333333
ath,Athpare,27.0,87.3333333333
ati,Atikamekw,48.0,-74.0
atk,Atakapa,30.0,-93.5
atm,Atacameño,-23.0,-69.0
atq,Alutiiq,57.0,-157.0
ats,Atsugewi,40.75,-121.0
atu,Arabic (Tunisian),36.75,10.25
au,Au,-3.58333333333,142.083333333
aul,Aulua,-16.3333333333,167.666666667
aus,Auslan,-30.0,145.0
auy,Auyana,-6.5,145.75
ava,Avar,42.5,46.5
avk,Avikam,5.16666666667,-5.5
avo,Avokaya,4.66666666667,30.0
avt,Avatime,6.83333333333,0.416666666667
awa,Awa,-6.66666666667,145.75
