RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            4     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.000D+00  2.044D+03
    1    4     4     3  ---    2  5.1D-01  5.5D+00  6.012D+01  1.069D+03
    2    7     1     0  con    2  1.2D+00  2.4D+00  2.799D+00  5.846D+02
    3    9     1     0  con    1  1.7D-01  5.8D-02  8.707D+00  5.829D+02
    4   11     1     0  con    1  5.0D+00  6.9D-02  1.008D+01  5.823D+02
    5   12     1     0  con    0  1.0D+00  5.7D-01  1.382D+01  5.792D+02
    6   13     1     0  con    0  1.0D+00  1.4D+00  1.664D+01  5.737D+02
    7   14     1     0  con    0  1.0D+00  1.9D+00  1.629D+01  5.664D+02
    8   15     1     0  bnd    0  1.0D+00  3.7D+00  1.540D+01  5.583D+02
    9   16     1     1  con    0  1.0D+00  5.8D-01  1.265D+01  5.506D+02
   10   17     1     1  con    0  1.0D+00  3.3D+00  2.609D+00  5.310D+02
   11   18     1     1  con    0  1.0D+00  4.9D+00  3.649D+00  5.204D+02
   12   19     1     1  con    0  1.0D+00  1.0D+01  5.089D+00  5.113D+02
   13   20     1     1  con    0  1.0D+00  1.2D+00  3.704D+00  5.054D+02
   14   21     1     1  con    0  1.0D+00  7.8D+00  1.258D+00  4.943D+02
   15   22     1     0  con    0  1.0D+00  1.4D+01  2.364D+00  4.885D+02
   16   23     1     0  con    0  1.0D+00  3.2D+00  1.329D+00  4.833D+02
   17   24     1     0  con    0  1.0D+00  1.5D+01  9.295D-01  4.767D+02
   18   25     1     0  con    0  1.0D+00  1.1D+01  9.109D-01  4.724D+02
   19   27     1     0  bnd    1  1.7D-01  2.7D+00  9.210D-01  4.721D+02
   20   28     1     0  con    0  1.0D+00  1.3D+01  9.515D-01  4.698D+02
   21   29     1     0  bnd    0  1.0D+00  2.7D-01  9.487D-01  4.694D+02
   22   30     1     1  con    0  1.0D+00  1.4D-02  9.469D-01  4.693D+02
   23   31     1     1  con    0  1.0D+00  1.6D-02  5.329D-02  4.693D+02
   24   32     1     1  con    0  1.0D+00  2.6D-02  5.336D-02  4.693D+02
   25   33     1     1  con    0  1.0D+00  2.0D-01  5.360D-02  4.693D+02
   26   34     1     1  con    0  1.0D+00  3.9D-01  5.373D-02  4.693D+02
   27   35     1     1  con    0  1.0D+00  8.9D-01  5.359D-02  4.693D+02
   28   36     1     1  con    0  1.0D+00  1.4D+00  5.292D-02  4.692D+02
   29   37     1     1  con    0  1.0D+00  1.9D+00  5.180D-02  4.692D+02
   30   38     1     1  con    0  1.0D+00  1.9D+00  9.492D-01  4.692D+02
   31   39     1     1  con    0  1.0D+00  1.6D+00  9.499D-01  4.692D+02
   32   40     1     1  con    0  1.0D+00  1.5D+00  9.505D-01  4.692D+02
   33   42     1     1  con    1  2.4D-01  2.6D-01  4.963D-02  4.692D+02
   34   43     1     1  con    0  1.0D+00  1.0D+00  4.927D-02  4.692D+02
   35   44     1     1  con    0  1.0D+00  4.7D-01  2.419D-01  4.692D+02
   36   45     1     1  con    0  1.0D+00  5.1D-02  1.974D-01  4.692D+02
   37   47     1     1  con    1  3.1D-01  1.0D-01  1.660D-01  4.692D+02
   38   50     1     1  con    2  2.1D+01  8.4D-01  4.936D-02  4.692D+02
   39   51     1     1  con    0  1.0D+00  2.3D+00  5.023D-02  4.692D+02
   40   52     1     1  con    0  1.0D+00  4.3D+00  5.168D-02  4.692D+02
   41   53     1     1  con    0  1.0D+00  2.1D+00  5.161D-02  4.692D+02
   42   54     1     1  con    0  1.0D+00  6.2D+00  5.101D-02  4.692D+02
   43   55     1     1  con    0  1.0D+00  2.6D+01  9.501D-01  4.692D+02
   44   56     1     1  con    0  1.0D+00  5.3D+00  5.087D-02  4.692D+02
   45   57     1     1  con    0  1.0D+00  1.5D+00  5.095D-02  4.692D+02
   46   60     1     1  con    2  5.5D-02  1.5D+00  4.626D-01  4.692D+02
   47   65     1     1  con    4  3.9D-01  5.4D-02  3.324D-01  4.692D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

