"export-plot data (NetLogo 5.0.4)"
"DriftOrSelection.nlogo"
"02/19/2015 13:50:16:954 -0500"

"MODEL SETTINGS"
"birth-energy","energy-for-babies","grass-prob","carrying-capacity","number","probability-of-red","energy-from-grass-blue","energy-from-grass-red"
"10","25","3","500","100","0.1","9.9","10"

"""red vs. blue"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20500","0","259","true","""blue""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""blue""","true","0","1","105","18917"
"""red""","true","0","1","15","18917"

"""blue""",,,,"""red"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","89","105","true","0","11","15","true"
"1","86","105","true","1","11","15","true"
"2","86","105","true","2","11","15","true"
"3","131","105","true","3","17","15","true"
"4","156","105","true","4","22","15","true"
"5","145","105","true","5","19","15","true"
"6","166","105","true","6","22","15","true"
"7","183","105","true","7","25","15","true"
"8","198","105","true","8","23","15","true"
"9","211","105","true","9","25","15","true"
"10","205","105","true","10","25","15","true"
"11","220","105","true","11","26","15","true"
"12","232","105","true","12","26","15","true"
"13","235","105","true","13","26","15","true"
"14","243","105","true","14","26","15","true"
"15","241","105","true","15","26","15","true"
"16","252","105","true","16","26","15","true"
"17","258","105","true","17","26","15","true"
"18","254","105","true","18","28","15","true"
"19","255","105","true","19","28","15","true"
"20","248","105","true","20","30","15","true"
"21","244","105","true","21","30","15","true"
"22","247","105","true","22","30","15","true"
"23","244","105","true","23","29","15","true"
"24","241","105","true","24","30","15","true"
"25","236","105","true","25","32","15","true"
"26","237","105","true","26","32","15","true"
"27","230","105","true","27","33","15","true"
"28","226","105","true","28","33","15","true"
"29","221","105","true","29","32","15","true"
"30","221","105","true","30","30","15","true"
"31","225","105","true","31","30","15","true"
"32","219","105","true","32","31","15","true"
"33","213","105","true","33","31","15","true"
"34","208","105","true","34","27","15","true"
"35","206","105","true","35","24","15","true"
"36","204","105","true","36","28","15","true"
"37","215","105","true","37","26","15","true"
"38","209","105","true","38","25","15","true"
"39","204","105","true","39","25","15","true"
"40","192","105","true","40","24","15","true"
"41","188","105","true","41","23","15","true"
"42","187","105","true","42","23","15","true"
"43","184","105","true","43","23","15","true"
"44","183","105","true","44","24","15","true"
"45","181","105","true","45","25","15","true"
"46","174","105","true","46","21","15","true"
"47","168","105","true","47","22","15","true"
"48","165","105","true","48","21","15","true"
"49","170","105","true","49","21","15","true"
"50","170","105","true","50","22","15","true"
"51","168","105","true","51","21","15","true"
"52","169","105","true","52","20","15","true"
"53","168","105","true","53","20","15","true"
"54","160","105","true","54","17","15","true"
"55","158","105","true","55","17","15","true"
"56","158","105","true","56","17","15","true"
"57","157","105","true","57","18","15","true"
"58","157","105","true","58","19","15","true"
"59","153","105","true","59","22","15","true"
"60","152","105","true","60","19","15","true"
"61","148","105","true","61","18","15","true"
"62","153","105","true","62","19","15","true"
"63","145","105","true","63","19","15","true"
"64","146","105","true","64","20","15","true"
"65","149","105","true","65","20","15","true"
"66","150","105","true","66","21","15","true"
"67","148","105","true","67","22","15","true"
"68","153","105","true","68","24","15","true"
"69","149","105","true","69","26","15","true"
"70","149","105","true","70","26","15","true"
"71","149","105","true","71","26","15","true"
"72","149","105","true","72","26","15","true"
"73","149","105","true","73","27","15","true"
"74","149","105","true","74","26","15","true"
"75","154","105","true","75","25","15","true"
"76","155","105","true","76","25","15","true"
"77","154","105","true","77","24","15","true"
"78","156","105","true","78","22","15","true"
"79","159","105","true","79","22","15","true"
"80","156","105","true","80","21","15","true"
"81","156","105","true","81","21","15","true"
"82","155","105","true","82","22","15","true"
"83","156","105","true","83","21","15","true"
"84","158","105","true","84","20","15","true"
"85","152","105","true","85","21","15","true"
"86","154","105","true","86","23","15","true"
"87","149","105","true","87","24","15","true"
"88","147","105","true","88","25","15","true"
"89","148","105","true","89","24","15","true"
"90","154","105","true","90","26","15","true"
"91","156","105","true","91","24","15","true"
"92","159","105","true","92","24","15","true"
"93","157","105","true","93","24","15","true"
"94","156","105","true","94","27","15","true"
"95","155","105","true","95","27","15","true"
"96","160","105","true","96","29","15","true"
"97","161","105","true","97","32","15","true"
"98","165","105","true","98","32","15","true"
"99","168","105","true","99","30","15","true"
"100","165","105","true","100","30","15","true"
"101","158","105","true","101","30","15","true"
"102","158","105","true","102","31","15","true"
"103","156","105","true","103","30","15","true"
"104","149","105","true","104","30","15","true"
"105","148","105","true","105","33","15","true"
"106","151","105","true","106","33","15","true"
"107","147","105","true","107","32","15","true"
"108","144","105","true","108","32","15","true"
"109","144","105","true","109","31","15","true"
"110","147","105","true","110","29","15","true"
"111","145","105","true","111","29","15","true"
"112","140","105","true","112","29","15","true"
"113","142","105","true","113","28","15","true"
"114","141","105","true","114","29","15","true"
"115","138","105","true","115","30","15","true"
"116","138","105","true","116","28","15","true"
"117","137","105","true","117","27","15","true"
"118","132","105","true","118","25","15","true"
"119","128","105","true","119","24","15","true"
"120","133","105","true","120","25","15","true"
"121","132","105","true","121","25","15","true"
"122","133","105","true","122","25","15","true"
"123","130","105","true","123","27","15","true"
"124","134","105","true","124","28","15","true"
"125","131","105","true","125","29","15","true"
"126","132","105","true","126","28","15","true"
"127","132","105","true","127","29","15","true"
"128","137","105","true","128","29","15","true"
"129","133","105","true","129","29","15","true"
"130","135","105","true","130","31","15","true"
"131","139","105","true","131","31","15","true"
"132","139","105","true","132","30","15","true"
"133","142","105","true","133","29","15","true"
"134","143","105","true","134","32","15","true"
"135","142","105","true","135","31","15","true"
"136","148","105","true","136","31","15","true"
"137","145","105","true","137","30","15","true"
"138","145","105","true","138","32","15","true"
"139","143","105","true","139","37","15","true"
"140","144","105","true","140","33","15","true"
"141","141","105","true","141","33","15","true"
"142","140","105","true","142","35","15","true"
"143","150","105","true","143","35","15","true"
"144","155","105","true","144","32","15","true"
"145","157","105","true","145","34","15","true"
"146","153","105","true","146","36","15","true"
"147","150","105","true","147","36","15","true"
"148","146","105","true","148","37","15","true"
"149","147","105","true","149","39","15","true"
"150","146","105","true","150","39","15","true"
"151","140","105","true","151","39","15","true"
"152","144","105","true","152","36","15","true"
"153","137","105","true","153","38","15","true"
"154","141","105","true","154","38","15","true"
"155","144","105","true","155","35","15","true"
"156","145","105","true","156","34","15","true"
"157","147","105","true","157","32","15","true"
"158","144","105","true","158","31","15","true"
"159","144","105","true","159","29","15","true"
"160","139","105","true","160","29","15","true"
"161","141","105","true","161","29","15","true"
"162","141","105","true","162","29","15","true"
"163","147","105","true","163","28","15","true"
"164","143","105","true","164","31","15","true"
"165","144","105","true","165","31","15","true"
"166","143","105","true","166","31","15","true"
"167","144","105","true","167","30","15","true"
"168","138","105","true","168","29","15","true"
"169","138","105","true","169","27","15","true"
"170","137","105","true","170","26","15","true"
"171","134","105","true","171","26","15","true"
"172","140","105","true","172","27","15","true"
"173","140","105","true","173","29","15","true"
"174","139","105","true","174","27","15","true"
"175","136","105","true","175","26","15","true"
"176","136","105","true","176","26","15","true"
"177","132","105","true","177","25","15","true"
"178","138","105","true","178","24","15","true"
"179","135","105","true","179","25","15","true"
"180","136","105","true","180","25","15","true"
"181","138","105","true","181","25","15","true"
"182","137","105","true","182","28","15","true"
"183","134","105","true","183","25","15","true"
"184","136","105","true","184","24","15","true"
"185","139","105","true","185","23","15","true"
"186","136","105","true","186","22","15","true"
"187","132","105","true","187","26","15","true"
"188","128","105","true","188","25","15","true"
"189","133","105","true","189","26","15","true"
"190","132","105","true","190","26","15","true"
"191","132","105","true","191","28","15","true"
"192","131","105","true","192","25","15","true"
"193","136","105","true","193","26","15","true"
"194","133","105","true","194","23","15","true"
"195","136","105","true","195","25","15","true"
"196","137","105","true","196","25","15","true"
"197","136","105","true","197","25","15","true"
"198","131","105","true","198","26","15","true"
"199","130","105","true","199","26","15","true"
"200","128","105","true","200","27","15","true"
"201","128","105","true","201","25","15","true"
"202","125","105","true","202","24","15","true"
"203","123","105","true","203","26","15","true"
"204","130","105","true","204","28","15","true"
"205","130","105","true","205","27","15","true"
"206","133","105","true","206","28","15","true"
"207","132","105","true","207","27","15","true"
"208","134","105","true","208","28","15","true"
"209","136","105","true","209","29","15","true"
"210","132","105","true","210","29","15","true"
"211","131","105","true","211","28","15","true"
"212","131","105","true","212","31","15","true"
"213","130","105","true","213","30","15","true"
"214","127","105","true","214","30","15","true"
"215","130","105","true","215","30","15","true"
"216","133","105","true","216","31","15","true"
"217","131","105","true","217","33","15","true"
"218","132","105","true","218","31","15","true"
"219","133","105","true","219","33","15","true"
"220","129","105","true","220","35","15","true"
"221","126","105","true","221","34","15","true"
"222","125","105","true","222","31","15","true"
"223","127","105","true","223","30","15","true"
"224","124","105","true","224","30","15","true"
"225","124","105","true","225","30","15","true"
"226","129","105","true","226","31","15","true"
"227","128","105","true","227","34","15","true"
"228","129","105","true","228","33","15","true"
"229","133","105","true","229","33","15","true"
"230","136","105","true","230","33","15","true"
"231","136","105","true","231","36","15","true"
"232","138","105","true","232","34","15","true"
"233","141","105","true","233","34","15","true"
"234","138","105","true","234","33","15","true"
"235","136","105","true","235","33","15","true"
"236","139","105","true","236","35","15","true"
"237","138","105","true","237","33","15","true"
"238","141","105","true","238","35","15","true"
"239","139","105","true","239","36","15","true"
"240","140","105","true","240","35","15","true"
"241","133","105","true","241","34","15","true"
"242","139","105","true","242","35","15","true"
"243","135","105","true","243","37","15","true"
"244","132","105","true","244","38","15","true"
