"export-plot data (NetLogo 5.0.4)"
"DriftOrSelection.nlogo"
"02/19/2015 13:46:56:327 -0500"

"MODEL SETTINGS"
"birth-energy","energy-for-babies","grass-prob","carrying-capacity","number","probability-of-red","energy-from-grass-blue","energy-from-grass-red"
"10","25","3","500","100","0.1","9.9","10"

"""red vs. blue"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","13100","0","274","true","""blue""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""blue""","true","0","1","105","13010"
"""red""","true","0","1","15","13010"

"""blue""",,,,"""red"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","91","105","true","0","9","15","true"
"1","88","105","true","1","9","15","true"
"2","88","105","true","2","9","15","true"
"3","137","105","true","3","16","15","true"
"4","159","105","true","4","17","15","true"
"5","142","105","true","5","14","15","true"
"6","171","105","true","6","14","15","true"
"7","196","105","true","7","16","15","true"
"8","203","105","true","8","18","15","true"
"9","211","105","true","9","18","15","true"
"10","218","105","true","10","18","15","true"
"11","231","105","true","11","20","15","true"
"12","239","105","true","12","22","15","true"
"13","249","105","true","13","22","15","true"
"14","256","105","true","14","22","15","true"
"15","252","105","true","15","22","15","true"
"16","260","105","true","16","22","15","true"
"17","263","105","true","17","22","15","true"
"18","267","105","true","18","21","15","true"
"19","266","105","true","19","21","15","true"
"20","262","105","true","20","21","15","true"
"21","267","105","true","21","22","15","true"
"22","270","105","true","22","23","15","true"
"23","268","105","true","23","23","15","true"
"24","262","105","true","24","25","15","true"
"25","254","105","true","25","24","15","true"
"26","249","105","true","26","22","15","true"
"27","248","105","true","27","23","15","true"
"28","244","105","true","28","21","15","true"
"29","243","105","true","29","22","15","true"
"30","232","105","true","30","20","15","true"
"31","221","105","true","31","21","15","true"
"32","220","105","true","32","21","15","true"
"33","210","105","true","33","21","15","true"
"34","205","105","true","34","22","15","true"
"35","200","105","true","35","21","15","true"
"36","192","105","true","36","21","15","true"
"37","190","105","true","37","20","15","true"
"38","187","105","true","38","18","15","true"
"39","181","105","true","39","17","15","true"
"40","181","105","true","40","17","15","true"
"41","179","105","true","41","17","15","true"
"42","177","105","true","42","15","15","true"
"43","175","105","true","43","14","15","true"
"44","176","105","true","44","14","15","true"
"45","172","105","true","45","14","15","true"
"46","172","105","true","46","16","15","true"
"47","177","105","true","47","13","15","true"
"48","167","105","true","48","14","15","true"
"49","169","105","true","49","13","15","true"
"50","169","105","true","50","13","15","true"
"51","165","105","true","51","13","15","true"
"52","165","105","true","52","13","15","true"
"53","156","105","true","53","12","15","true"
"54","154","105","true","54","10","15","true"
"55","152","105","true","55","9","15","true"
"56","160","105","true","56","9","15","true"
"57","164","105","true","57","9","15","true"
"58","163","105","true","58","7","15","true"
"59","164","105","true","59","7","15","true"
"60","166","105","true","60","7","15","true"
"61","165","105","true","61","8","15","true"
"62","158","105","true","62","8","15","true"
"63","163","105","true","63","8","15","true"
"64","161","105","true","64","8","15","true"
"65","161","105","true","65","8","15","true"
"66","162","105","true","66","8","15","true"
"67","164","105","true","67","9","15","true"
"68","159","105","true","68","11","15","true"
"69","161","105","true","69","11","15","true"
"70","158","105","true","70","13","15","true"
"71","159","105","true","71","11","15","true"
"72","157","105","true","72","13","15","true"
"73","160","105","true","73","12","15","true"
"74","160","105","true","74","13","15","true"
"75","158","105","true","75","11","15","true"
"76","157","105","true","76","11","15","true"
"77","151","105","true","77","12","15","true"
"78","153","105","true","78","13","15","true"
"79","156","105","true","79","14","15","true"
"80","157","105","true","80","14","15","true"
"81","155","105","true","81","14","15","true"
"82","154","105","true","82","11","15","true"
"83","154","105","true","83","12","15","true"
"84","151","105","true","84","12","15","true"
"85","151","105","true","85","12","15","true"
"86","151","105","true","86","13","15","true"
"87","145","105","true","87","14","15","true"
"88","146","105","true","88","14","15","true"
"89","146","105","true","89","13","15","true"
"90","141","105","true","90","14","15","true"
"91","142","105","true","91","13","15","true"
"92","146","105","true","92","14","15","true"
"93","143","105","true","93","14","15","true"
"94","146","105","true","94","15","15","true"
"95","146","105","true","95","17","15","true"
"96","147","105","true","96","19","15","true"
"97","151","105","true","97","19","15","true"
"98","152","105","true","98","17","15","true"
"99","149","105","true","99","18","15","true"
"100","151","105","true","100","19","15","true"
"101","151","105","true","101","22","15","true"
"102","147","105","true","102","20","15","true"
"103","146","105","true","103","21","15","true"
"104","141","105","true","104","20","15","true"
"105","141","105","true","105","20","15","true"
"106","142","105","true","106","20","15","true"
"107","142","105","true","107","21","15","true"
"108","144","105","true","108","21","15","true"
"109","149","105","true","109","20","15","true"
"110","146","105","true","110","19","15","true"
"111","144","105","true","111","19","15","true"
"112","143","105","true","112","19","15","true"
"113","147","105","true","113","19","15","true"
"114","149","105","true","114","19","15","true"
"115","155","105","true","115","19","15","true"
"116","155","105","true","116","18","15","true"
"117","152","105","true","117","19","15","true"
"118","149","105","true","118","18","15","true"
"119","146","105","true","119","20","15","true"
"120","146","105","true","120","23","15","true"
"121","146","105","true","121","21","15","true"
"122","144","105","true","122","20","15","true"
"123","137","105","true","123","19","15","true"
"124","136","105","true","124","19","15","true"
"125","138","105","true","125","19","15","true"
"126","139","105","true","126","17","15","true"
"127","139","105","true","127","17","15","true"
"128","141","105","true","128","17","15","true"
"129","142","105","true","129","17","15","true"
"130","141","105","true","130","17","15","true"
"131","145","105","true","131","15","15","true"
"132","152","105","true","132","17","15","true"
"133","157","105","true","133","19","15","true"
"134","160","105","true","134","19","15","true"
"135","160","105","true","135","18","15","true"
"136","161","105","true","136","19","15","true"
"137","164","105","true","137","19","15","true"
"138","156","105","true","138","18","15","true"
"139","151","105","true","139","19","15","true"
"140","146","105","true","140","16","15","true"
"141","145","105","true","141","18","15","true"
"142","142","105","true","142","18","15","true"
"143","144","105","true","143","18","15","true"
"144","147","105","true","144","17","15","true"
"145","151","105","true","145","18","15","true"
"146","156","105","true","146","17","15","true"
"147","156","105","true","147","17","15","true"
"148","158","105","true","148","15","15","true"
"149","157","105","true","149","16","15","true"
"150","156","105","true","150","15","15","true"
"151","153","105","true","151","14","15","true"
"152","153","105","true","152","14","15","true"
"153","153","105","true","153","14","15","true"
"154","151","105","true","154","13","15","true"
"155","156","105","true","155","15","15","true"
"156","155","105","true","156","13","15","true"
"157","157","105","true","157","11","15","true"
"158","158","105","true","158","12","15","true"
"159","154","105","true","159","11","15","true"
"160","153","105","true","160","11","15","true"
"161","158","105","true","161","11","15","true"
"162","156","105","true","162","11","15","true"
"163","158","105","true","163","11","15","true"
"164","160","105","true","164","11","15","true"
"165","159","105","true","165","10","15","true"
"166","153","105","true","166","10","15","true"
"167","160","105","true","167","10","15","true"
"168","159","105","true","168","10","15","true"
"169","160","105","true","169","10","15","true"
"170","161","105","true","170","11","15","true"
"171","162","105","true","171","11","15","true"
"172","165","105","true","172","10","15","true"
"173","169","105","true","173","11","15","true"
"174","166","105","true","174","12","15","true"
"175","168","105","true","175","10","15","true"
"176","172","105","true","176","10","15","true"
"177","171","105","true","177","9","15","true"
"178","166","105","true","178","9","15","true"
"179","170","105","true","179","8","15","true"
"180","173","105","true","180","8","15","true"
"181","170","105","true","181","9","15","true"
"182","169","105","true","182","9","15","true"
"183","169","105","true","183","9","15","true"
"184","172","105","true","184","8","15","true"
"185","174","105","true","185","8","15","true"
"186","168","105","true","186","8","15","true"
"187","170","105","true","187","9","15","true"
"188","171","105","true","188","9","15","true"
"189","171","105","true","189","10","15","true"
"190","172","105","true","190","9","15","true"
"191","169","105","true","191","9","15","true"
"192","163","105","true","192","9","15","true"
"193","165","105","true","193","9","15","true"
"194","163","105","true","194","9","15","true"
"195","161","105","true","195","7","15","true"
"196","167","105","true","196","8","15","true"
"197","169","105","true","197","8","15","true"
"198","163","105","true","198","8","15","true"
"199","159","105","true","199","7","15","true"
"200","159","105","true","200","7","15","true"
"201","156","105","true","201","9","15","true"
"202","158","105","true","202","9","15","true"
"203","161","105","true","203","10","15","true"
"204","162","105","true","204","8","15","true"
"205","157","105","true","205","8","15","true"
"206","155","105","true","206","8","15","true"
"207","156","105","true","207","8","15","true"
"208","157","105","true","208","7","15","true"
"209","156","105","true","209","9","15","true"
"210","157","105","true","210","9","15","true"
"211","153","105","true","211","9","15","true"
"212","153","105","true","212","10","15","true"
"213","155","105","true","213","11","15","true"
"214","149","105","true","214","13","15","true"
"215","149","105","true","215","13","15","true"
"216","148","105","true","216","12","15","true"
"217","147","105","true","217","11","15","true"
"218","146","105","true","218","11","15","true"
"219","148","105","true","219","11","15","true"
"220","143","105","true","220","11","15","true"
"221","145","105","true","221","11","15","true"
"222","144","105","true","222","12","15","true"
"223","145","105","true","223","13","15","true"
"224","149","105","true","224","13","15","true"
"225","148","105","true","225","14","15","true"
"226","144","105","true","226","13","15","true"
"227","145","105","true","227","12","15","true"
"228","147","105","true","228","12","15","true"
"229","149","105","true","229","13","15","true"
"230","154","105","true","230","13","15","true"
"231","152","105","true","231","13","15","true"
"232","151","105","true","232","13","15","true"
"233","150","105","true","233","13","15","true"
"234","153","105","true","234","15","15","true"
"235","151","105","true","235","15","15","true"
"236","148","105","true","236","15","15","true"
"237","145","105","true","237","16","15","true"
"238","146","105","true","238","15","15","true"
"239","141","105","true","239","13","15","true"
"240","142","105","true","240","15","15","true"
"241","140","105","true","241","14","15","true"
"242","145","105","true","242","15","15","true"
"243","152","105","true","243","16","15","true"
"244","150","105","true","244","13","15","true"
