"x","y","color","pen down?","x","y","color","pen down?"
"0","12","105","true","0","88","15","true"
"1","12","105","true","1","86","15","true"
"2","12","105","true","2","86","15","true"
"3","18","105","true","3","135","15","true"
"4","20","105","true","4","153","15","true"
"5","17","105","true","5","139","15","true"
"6","21","105","true","6","170","15","true"
"7","26","105","true","7","185","15","true"
"8","27","105","true","8","196","15","true"
"9","30","105","true","9","217","15","true"
"10","29","105","true","10","227","15","true"
"11","31","105","true","11","239","15","true"
"12","30","105","true","12","258","15","true"
"13","29","105","true","13","263","15","true"
"14","29","105","true","14","264","15","true"
"15","29","105","true","15","266","15","true"
"16","31","105","true","16","275","15","true"
"17","30","105","true","17","283","15","true"
"18","29","105","true","18","276","15","true"
"19","27","105","true","19","273","15","true"
"20","27","105","true","20","267","15","true"
"21","29","105","true","21","265","15","true"
"22","31","105","true","22","263","15","true"
"23","32","105","true","23","265","15","true"
"24","32","105","true","24","261","15","true"
"25","28","105","true","25","251","15","true"
"26","29","105","true","26","247","15","true"
"27","28","105","true","27","242","15","true"
"28","26","105","true","28","237","15","true"
"29","25","105","true","29","231","15","true"
"30","26","105","true","30","228","15","true"
"31","23","105","true","31","222","15","true"
"32","22","105","true","32","216","15","true"
"33","24","105","true","33","210","15","true"
"34","24","105","true","34","210","15","true"
"35","24","105","true","35","201","15","true"
"36","23","105","true","36","200","15","true"
"37","22","105","true","37","200","15","true"
"38","22","105","true","38","197","15","true"
"39","21","105","true","39","196","15","true"
"40","20","105","true","40","192","15","true"
"41","20","105","true","41","189","15","true"
"42","20","105","true","42","189","15","true"
"43","18","105","true","43","186","15","true"
"44","18","105","true","44","184","15","true"
"45","18","105","true","45","181","15","true"
"46","15","105","true","46","174","15","true"
"47","16","105","true","47","167","15","true"
"48","17","105","true","48","172","15","true"
"49","17","105","true","49","165","15","true"
"50","15","105","true","50","160","15","true"
"51","16","105","true","51","161","15","true"
"52","16","105","true","52","165","15","true"
"53","15","105","true","53","166","15","true"
"54","15","105","true","54","169","15","true"
"55","14","105","true","55","164","15","true"
"56","14","105","true","56","164","15","true"
"57","14","105","true","57","164","15","true"
"58","15","105","true","58","163","15","true"
"59","14","105","true","59","164","15","true"
"60","14","105","true","60","164","15","true"
"61","13","105","true","61","165","15","true"
"62","14","105","true","62","166","15","true"
"63","14","105","true","63","166","15","true"
"64","15","105","true","64","161","15","true"
"65","16","105","true","65","163","15","true"
"66","14","105","true","66","161","15","true"
"67","13","105","true","67","162","15","true"
"68","12","105","true","68","162","15","true"
"69","13","105","true","69","158","15","true"
"70","12","105","true","70","154","15","true"
"71","11","105","true","71","155","15","true"
"72","11","105","true","72","157","15","true"
"73","12","105","true","73","149","15","true"
"74","13","105","true","74","145","15","true"
"75","13","105","true","75","150","15","true"
"76","14","105","true","76","151","15","true"
"77","15","105","true","77","146","15","true"
"78","15","105","true","78","140","15","true"
"79","17","105","true","79","142","15","true"
"80","17","105","true","80","141","15","true"
"81","18","105","true","81","136","15","true"
"82","17","105","true","82","141","15","true"
"83","16","105","true","83","135","15","true"
"84","14","105","true","84","132","15","true"
"85","15","105","true","85","135","15","true"
"86","15","105","true","86","133","15","true"
"87","14","105","true","87","132","15","true"
"88","13","105","true","88","135","15","true"
"89","13","105","true","89","136","15","true"
"90","15","105","true","90","140","15","true"
"91","15","105","true","91","143","15","true"
"92","15","105","true","92","139","15","true"
"93","15","105","true","93","148","15","true"
"94","15","105","true","94","148","15","true"
"95","15","105","true","95","145","15","true"
"96","15","105","true","96","143","15","true"
"97","16","105","true","97","148","15","true"
"98","16","105","true","98","149","15","true"
"99","16","105","true","99","156","15","true"
"100","14","105","true","100","160","15","true"
"101","14","105","true","101","163","15","true"
"102","15","105","true","102","156","15","true"
"103","16","105","true","103","160","15","true"
"104","16","105","true","104","159","15","true"
"105","17","105","true","105","152","15","true"
"106","17","105","true","106","154","15","true"
"107","18","105","true","107","152","15","true"
"108","19","105","true","108","145","15","true"
"109","19","105","true","109","144","15","true"
"110","20","105","true","110","147","15","true"
"111","21","105","true","111","146","15","true"
"112","21","105","true","112","149","15","true"
"113","22","105","true","113","146","15","true"
"114","21","105","true","114","145","15","true"
"115","22","105","true","115","148","15","true"
"116","24","105","true","116","145","15","true"
"117","24","105","true","117","143","15","true"
"118","24","105","true","118","141","15","true"
"119","25","105","true","119","137","15","true"
"120","24","105","true","120","136","15","true"
"121","23","105","true","121","140","15","true"
"122","20","105","true","122","141","15","true"
"123","18","105","true","123","140","15","true"
"124","20","105","true","124","141","15","true"
"125","19","105","true","125","137","15","true"
"126","20","105","true","126","136","15","true"
"127","19","105","true","127","141","15","true"
"128","17","105","true","128","140","15","true"
"129","17","105","true","129","140","15","true"
"130","17","105","true","130","137","15","true"
"131","17","105","true","131","142","15","true"
"132","17","105","true","132","145","15","true"
"133","20","105","true","133","150","15","true"
"134","20","105","true","134","147","15","true"
"135","21","105","true","135","150","15","true"
"136","22","105","true","136","152","15","true"
"137","22","105","true","137","142","15","true"
"138","23","105","true","138","142","15","true"
"139","22","105","true","139","142","15","true"
"140","23","105","true","140","145","15","true"
"141","23","105","true","141","147","15","true"
"142","24","105","true","142","146","15","true"
"143","21","105","true","143","146","15","true"
"144","23","105","true","144","147","15","true"
"145","22","105","true","145","152","15","true"
"146","18","105","true","146","155","15","true"
"147","18","105","true","147","154","15","true"
"148","18","105","true","148","156","15","true"
"149","17","105","true","149","157","15","true"
"150","18","105","true","150","154","15","true"
"151","17","105","true","151","164","15","true"
"152","19","105","true","152","163","15","true"
"153","18","105","true","153","162","15","true"
"154","18","105","true","154","164","15","true"
"155","17","105","true","155","158","15","true"
"156","19","105","true","156","164","15","true"
"157","18","105","true","157","165","15","true"
"158","18","105","true","158","168","15","true"
"159","18","105","true","159","165","15","true"
"160","19","105","true","160","166","15","true"
"161","19","105","true","161","162","15","true"
"162","19","105","true","162","163","15","true"
"163","20","105","true","163","163","15","true"
"164","19","105","true","164","166","15","true"
"165","19","105","true","165","168","15","true"
"166","19","105","true","166","163","15","true"
"167","17","105","true","167","158","15","true"
"168","18","105","true","168","153","15","true"
"169","18","105","true","169","150","15","true"
"170","19","105","true","170","148","15","true"
"171","19","105","true","171","145","15","true"
"172","19","105","true","172","147","15","true"
